ID	Gene Name	Species	BBID	BIOCARTA	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12(ADAMTS12)	Homo sapiens			GO:0002062~chondrocyte differentiation,GO:0006508~proteolysis,GO:0007160~cell-matrix adhesion,GO:0016477~cell migration,GO:0030167~proteoglycan catabolic process,GO:0030198~extracellular matrix organization,GO:0030199~collagen fibril organization,GO:0032331~negative regulation of chondrocyte differentiation,GO:0043931~ossification involved in bone maturation,GO:0050727~regulation of inflammatory response,GO:0051603~proteolysis involved in cellular protein catabolic process,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:0071773~cellular response to BMP stimulus,GO:1901509~regulation of endothelial tube morphogenesis,GO:1902203~negative regulation of hepatocyte growth factor receptor signaling pathway,GO:1902548~negative regulation of cellular response to vascular endothelial growth factor stimulus,GO:2001113~negative regulation of cellular response to hepatocyte growth factor stimulus,	GO:0005576~extracellular region,GO:0031012~extracellular matrix,	GO:0004222~metalloendopeptidase activity,GO:0005515~protein binding,GO:0046872~metal ion binding,	IPR000884:Thrombospondin, type 1 repeat,IPR001590:Peptidase M12B, ADAM/reprolysin,IPR002870:Peptidase M12B, propeptide,IPR010294:ADAM-TS Spacer 1,IPR010909:PLAC,IPR013273:Peptidase M12B, ADAM-TS,IPR024079:Metallopeptidase, catalytic domain,				SM00209:TSP1,		KW-0272~Extracellular matrix,KW-0964~Secreted,		KW-0677~Repeat,KW-0732~Signal,	KW-0479~Metal-binding,KW-0862~Zinc,	KW-0378~Hydrolase,KW-0482~Metalloprotease,KW-0645~Protease,	KW-0165~Cleavage on pair of basic residues,KW-0325~Glycoprotein,KW-0865~Zymogen,KW-1015~Disulfide bond,	BINDING:in inhibited form,CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,DOMAIN:Disintegrin,DOMAIN:PLAC,DOMAIN:Peptidase M12B,DOMAIN:Peptidase M12B propeptide,DOMAIN:TSP type-1 1,DOMAIN:TSP type-1 2,DOMAIN:TSP type-1 3,DOMAIN:TSP type-1 4,DOMAIN:TSP type-1 5,DOMAIN:TSP type-1 6,DOMAIN:TSP type-1 7,DOMAIN:TSP type-1 8,MOTIF:Cysteine switch,REGION:Disordered,REGION:Spacer 1,REGION:Spacer 2,
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16(ADAMTS16)	Homo sapiens			GO:0001658~branching involved in ureteric bud morphogenesis,GO:0003073~regulation of systemic arterial blood pressure,GO:0006508~proteolysis,GO:0030198~extracellular matrix organization,GO:0048232~male gamete generation,GO:1902017~regulation of cilium assembly,	GO:0005576~extracellular region,GO:0031012~extracellular matrix,	GO:0004222~metalloendopeptidase activity,GO:0046872~metal ion binding,	IPR000884:Thrombospondin, type 1 repeat,IPR001590:Peptidase M12B, ADAM/reprolysin,IPR002870:Peptidase M12B, propeptide,IPR010294:ADAM-TS Spacer 1,IPR010909:PLAC,IPR013273:Peptidase M12B, ADAM-TS,IPR024079:Metallopeptidase, catalytic domain,				SM00209:TSP1,		KW-0272~Extracellular matrix,KW-0964~Secreted,		KW-0677~Repeat,KW-0732~Signal,	KW-0106~Calcium,KW-0479~Metal-binding,KW-0862~Zinc,	KW-0378~Hydrolase,KW-0482~Metalloprotease,KW-0645~Protease,	KW-0165~Cleavage on pair of basic residues,KW-0325~Glycoprotein,KW-0865~Zymogen,KW-1015~Disulfide bond,	BINDING:in inhibited form,CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Pro residues,DOMAIN:Disintegrin,DOMAIN:PLAC,DOMAIN:Peptidase M12B,DOMAIN:TSP type-1 1,DOMAIN:TSP type-1 2,DOMAIN:TSP type-1 3,DOMAIN:TSP type-1 4,DOMAIN:TSP type-1 5,DOMAIN:TSP type-1 6,MOTIF:Cysteine switch,REGION:Disordered,REGION:Spacer,
ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20(ADAMTS20)	Homo sapiens			GO:0006508~proteolysis,GO:0006915~apoptotic process,GO:0007165~signal transduction,GO:0009967~positive regulation of signal transduction,GO:0030198~extracellular matrix organization,GO:0030318~melanocyte differentiation,GO:0043066~negative regulation of apoptotic process,GO:0045636~positive regulation of melanocyte differentiation,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0031012~extracellular matrix,	GO:0004222~metalloendopeptidase activity,GO:0008270~zinc ion binding,GO:0046872~metal ion binding,	IPR000884:Thrombospondin, type 1 repeat,IPR001590:Peptidase M12B, ADAM/reprolysin,IPR002870:Peptidase M12B, propeptide,IPR010294:ADAM-TS Spacer 1,IPR012314:Peptidase M12B, GON-ADAMTSs,IPR013273:Peptidase M12B, ADAM-TS,IPR024079:Metallopeptidase, catalytic domain,				SM00209:TSP1,		KW-0272~Extracellular matrix,KW-0964~Secreted,		KW-0677~Repeat,KW-0732~Signal,	KW-0106~Calcium,KW-0479~Metal-binding,KW-0862~Zinc,	KW-0378~Hydrolase,KW-0482~Metalloprotease,KW-0645~Protease,	KW-0165~Cleavage on pair of basic residues,KW-0325~Glycoprotein,KW-0865~Zymogen,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:Disintegrin,DOMAIN:GON,DOMAIN:Peptidase M12B,DOMAIN:TSP type-1 1,DOMAIN:TSP type-1 10,DOMAIN:TSP type-1 11,DOMAIN:TSP type-1 12,DOMAIN:TSP type-1 13,DOMAIN:TSP type-1 14,DOMAIN:TSP type-1 15,DOMAIN:TSP type-1 2,DOMAIN:TSP type-1 3,DOMAIN:TSP type-1 4,DOMAIN:TSP type-1 5,DOMAIN:TSP type-1 6,DOMAIN:TSP type-1 7,DOMAIN:TSP type-1 8,DOMAIN:TSP type-1 9,REGION:Spacer,
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3(ADAMTS3)	Homo sapiens			GO:0001701~in utero embryonic development,GO:0006508~proteolysis,GO:0007229~integrin-mediated signaling pathway,GO:0010573~vascular endothelial growth factor production,GO:0016485~protein processing,GO:0030198~extracellular matrix organization,GO:0030199~collagen fibril organization,GO:0030574~collagen catabolic process,GO:0032964~collagen biosynthetic process,GO:0097435~supramolecular fiber organization,GO:1900748~positive regulation of vascular endothelial growth factor signaling pathway,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0031012~extracellular matrix,GO:0070062~extracellular exosome,	GO:0004175~endopeptidase activity,GO:0004222~metalloendopeptidase activity,GO:0005515~protein binding,GO:0008201~heparin binding,GO:0008270~zinc ion binding,	IPR000884:Thrombospondin, type 1 repeat,IPR001590:Peptidase M12B, ADAM/reprolysin,IPR002870:Peptidase M12B, propeptide,IPR010294:ADAM-TS Spacer 1,IPR010909:PLAC,IPR013273:Peptidase M12B, ADAM-TS,IPR024079:Metallopeptidase, catalytic domain,		618154~Hennekam lymphangiectasia-lymphedema syndrome 3,		SM00209:TSP1,		KW-0272~Extracellular matrix,KW-0964~Secreted,	KW-0225~Disease variant,	KW-0677~Repeat,KW-0732~Signal,	KW-0479~Metal-binding,KW-0862~Zinc,	KW-0358~Heparin-binding,KW-0378~Hydrolase,KW-0401~Integrin,KW-0482~Metalloprotease,KW-0645~Protease,	KW-0165~Cleavage on pair of basic residues,KW-0325~Glycoprotein,KW-0865~Zymogen,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Basic and acidic residues,DOMAIN:Disintegrin,DOMAIN:PLAC,DOMAIN:Peptidase M12B,DOMAIN:Peptidase M12B propeptide,DOMAIN:TSP type-1 1,DOMAIN:TSP type-1 2,DOMAIN:TSP type-1 3,DOMAIN:TSP type-1 4,REGION:Disordered,REGION:Spacer,
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5(ADAMTS5)	Homo sapiens			GO:0003180~aortic valve morphogenesis,GO:0003184~pulmonary valve morphogenesis,GO:0003203~endocardial cushion morphogenesis,GO:0006508~proteolysis,GO:0007520~myoblast fusion,GO:0022617~extracellular matrix disassembly,GO:0030198~extracellular matrix organization,GO:0042742~defense response to bacterium,GO:0044691~tooth eruption,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005788~endoplasmic reticulum lumen,GO:0031012~extracellular matrix,	GO:0004175~endopeptidase activity,GO:0004222~metalloendopeptidase activity,GO:0005178~integrin binding,GO:0005515~protein binding,GO:0008201~heparin binding,GO:0008233~peptidase activity,GO:0008237~metallopeptidase activity,GO:0008270~zinc ion binding,GO:0042802~identical protein binding,GO:0050840~extracellular matrix binding,	IPR000884:Thrombospondin, type 1 repeat,IPR001590:Peptidase M12B, ADAM/reprolysin,IPR002870:Peptidase M12B, propeptide,IPR006586:ADAM, cysteine-rich,IPR010294:ADAM-TS Spacer 1,IPR013273:Peptidase M12B, ADAM-TS,IPR013276:Peptidase M12B, ADAM-TS5,IPR024079:Metallopeptidase, catalytic domain,				SM00209:TSP1,SM00608:ACR,		KW-0272~Extracellular matrix,KW-0964~Secreted,		KW-0677~Repeat,KW-0732~Signal,	KW-0479~Metal-binding,KW-0862~Zinc,	KW-0378~Hydrolase,KW-0482~Metalloprotease,KW-0645~Protease,	KW-0165~Cleavage on pair of basic residues,KW-0325~Glycoprotein,KW-0865~Zymogen,KW-1015~Disulfide bond,	BINDING:in inhibited form,CARBOHYD:C-linked (Man) tryptophan,CARBOHYD:N-linked (GlcNAc...) asparagine,CARBOHYD:O-linked (Fuc...) serine,COMPBIAS:Basic and acidic residues,DOMAIN:Disintegrin,DOMAIN:Peptidase M12B,DOMAIN:TSP type-1 1,DOMAIN:TSP type-1 2,MOTIF:Cysteine switch,MUTAGEN:E->A: Complete loss of catalytic activity.,REGION:Disordered,REGION:Spacer,SITE:Cleavage; by furin and PCSK7,
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8(ADAMTS8)	Homo sapiens			GO:0006508~proteolysis,GO:0008285~negative regulation of cell proliferation,GO:0030198~extracellular matrix organization,GO:0035435~phosphate ion transmembrane transport,	GO:0005576~extracellular region,GO:0031012~extracellular matrix,	GO:0004222~metalloendopeptidase activity,GO:0005178~integrin binding,GO:0008201~heparin binding,GO:0008237~metallopeptidase activity,GO:0008270~zinc ion binding,GO:0009673~low-affinity phosphate transmembrane transporter activity,	IPR000884:Thrombospondin, type 1 repeat,IPR001590:Peptidase M12B, ADAM/reprolysin,IPR002870:Peptidase M12B, propeptide,IPR006586:ADAM, cysteine-rich,IPR010294:ADAM-TS Spacer 1,IPR013273:Peptidase M12B, ADAM-TS,IPR013277:Peptidase M12B, ADAM-TS8,IPR024079:Metallopeptidase, catalytic domain,				SM00209:TSP1,SM00608:ACR,		KW-0272~Extracellular matrix,KW-0964~Secreted,		KW-0677~Repeat,KW-0732~Signal,	KW-0106~Calcium,KW-0479~Metal-binding,KW-0862~Zinc,	KW-0358~Heparin-binding,KW-0378~Hydrolase,KW-0482~Metalloprotease,KW-0645~Protease,	KW-0165~Cleavage on pair of basic residues,KW-0325~Glycoprotein,KW-0865~Zymogen,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Basic and acidic residues,DOMAIN:Disintegrin,DOMAIN:Peptidase M12B,DOMAIN:TSP type-1 1,DOMAIN:TSP type-1 2,REGION:Disordered,REGION:Spacer,
ADCYAP1R1	ADCYAP receptor type I(ADCYAP1R1)	Homo sapiens			GO:0007166~cell surface receptor signaling pathway,GO:0007188~adenylate cyclase-modulating G-protein coupled receptor signaling pathway,GO:0007202~activation of phospholipase C activity,GO:0007283~spermatogenesis,GO:0009410~response to xenobiotic stimulus,GO:0010524~positive regulation of calcium ion transport into cytosol,GO:0019933~cAMP-mediated signaling,GO:0030154~cell differentiation,GO:0032355~response to estradiol,GO:0033555~multicellular organismal response to stress,GO:0043950~positive regulation of cAMP-mediated signaling,GO:0045471~response to ethanol,GO:0046545~development of primary female sexual characteristics,GO:0051057~positive regulation of small GTPase mediated signal transduction,GO:0060548~negative regulation of cell death,GO:0060732~positive regulation of inositol phosphate biosynthetic process,GO:1901032~negative regulation of response to reactive oxygen species,	GO:0005768~endosome,GO:0005791~rough endoplasmic reticulum,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005901~caveola,GO:0005923~bicellular tight junction,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0043005~neuron projection,GO:0043231~intracellular membrane-bounded organelle,GO:0043235~receptor complex,	GO:0004930~G-protein coupled receptor activity,GO:0004999~vasoactive intestinal polypeptide receptor activity,GO:0005515~protein binding,GO:0008179~adenylate cyclase binding,GO:0008528~G-protein coupled peptide receptor activity,GO:0017046~peptide hormone binding,GO:0031267~small GTPase binding,GO:0038023~signaling receptor activity,GO:0042923~neuropeptide binding,	IPR000832:GPCR, family 2, secretin-like,IPR001879:GPCR, family 2, extracellular hormone receptor domain,IPR002285:GPCR, family 2, pituitary adenylate cyclase activating polypeptide type 1 receptor,IPR017981:GPCR, family 2-like,IPR017983:GPCR, family 2, secretin-like, conserved site,	hsa04024:cAMP signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,hsa04713:Circadian entrainment,hsa04911:Insulin secretion,hsa04924:Renin secretion,			SM00008:HormR,	KW-0221~Differentiation,KW-0744~Spermatogenesis,	KW-0472~Membrane,KW-1003~Cell membrane,		KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0217~Developmental protein,KW-0297~G-protein coupled receptor,KW-0675~Receptor,KW-0807~Transducer,KW-9996~Developmental protein,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:G-protein coupled receptors family 2 profile 1,DOMAIN:G-protein coupled receptors family 2 profile 2,MUTAGEN:E->R: Reduced affinity for ADCYAP1.,MUTAGEN:P->A: Reduced affinity for ADCYAP1.,MUTAGEN:V->A: Reduced affinity for ADCYAP1.,MUTAGEN:Y->A: Strongly reduced affinity for ADCYAP1.,REGION:Important for ligand binding and specificity,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=6,TRANSMEM:Helical; Name=7,
AFF3	ALF transcription elongation factor 3(AFF3)	Homo sapiens			GO:0006355~regulation of transcription, DNA-templated,GO:0010468~regulation of gene expression,GO:0034612~response to tumor necrosis factor,GO:0035116~embryonic hindlimb morphogenesis,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005829~cytosol,GO:0016604~nuclear body,GO:0032783~ELL-EAF complex,	GO:0003690~double-stranded DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,	IPR007797:Transcription factor AF4/FMR2,		619297~KINSSHIP syndrome,			KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,	KW-0225~Disease variant,KW-0242~Dwarfism,KW-0991~Intellectual disability,			KW-0010~Activator,KW-0238~DNA-binding,	KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:AF4/FMR2 C-terminal homology,REGION:Disordered,
ALX1	ALX homeobox 1(ALX1)	Homo sapiens			GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001755~neural crest cell migration,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0010718~positive regulation of epithelial to mesenchymal transition,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048704~embryonic skeletal system morphogenesis,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005794~Golgi apparatus,GO:0016604~nuclear body,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:0005515~protein binding,GO:1990837~sequence-specific double-stranded DNA binding,	IPR001356:Homeodomain,IPR003654:OAR domain,IPR009057:Homeodomain-like,IPR017970:Homeobox, conserved site,		613456~Frontonasal dysplasia 3,		SM00389:HOX,	KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,		KW-0371~Homeobox,		KW-0010~Activator,KW-0217~Developmental protein,KW-0238~DNA-binding,KW-0678~Repressor,KW-9996~Developmental protein,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	DNA_BIND:Homeobox,DOMAIN:Homeobox,DOMAIN:OAR,MOTIF:OAR,REGION:Transactivation domain,
ALX4	ALX homeobox 4(ALX4)	Homo sapiens			GO:0001501~skeletal system development,GO:0001942~hair follicle development,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007517~muscle organ development,GO:0009791~post-embryonic development,GO:0009952~anterior/posterior pattern specification,GO:0035115~embryonic forelimb morphogenesis,GO:0035116~embryonic hindlimb morphogenesis,GO:0042733~embryonic digit morphogenesis,GO:0042981~regulation of apoptotic process,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048565~digestive tract development,GO:0048704~embryonic skeletal system morphogenesis,GO:0060021~palate development,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription factor complex,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:0005515~protein binding,GO:0071837~HMG box domain binding,GO:1990837~sequence-specific double-stranded DNA binding,	IPR001356:Homeodomain,IPR003654:OAR domain,IPR009057:Homeodomain-like,IPR017970:Homeobox, conserved site,		609597~Parietal foramina 2,613451~Frontonasal dysplasia 2,615529~Craniosynostosis 5, susceptibility to,		SM00389:HOX,	KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,	KW-0225~Disease variant,KW-0989~Craniosynostosis,	KW-0371~Homeobox,		KW-0010~Activator,KW-0217~Developmental protein,KW-0238~DNA-binding,KW-9996~Developmental protein,	KW-0597~Phosphoprotein,	COMPBIAS:Pro residues,DNA_BIND:Homeobox,MOTIF:OAR,REGION:Disordered,
APCDD1	APC down-regulated 1(APCDD1)	Homo sapiens			GO:0001942~hair follicle development,GO:0016055~Wnt signaling pathway,GO:0030178~negative regulation of Wnt signaling pathway,GO:0042487~regulation of odontogenesis of dentin-containing tooth,GO:0043615~astrocyte cell migration,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,	GO:0005515~protein binding,GO:0017147~Wnt-protein binding,GO:0042802~identical protein binding,		hsa04310:Wnt signaling pathway,	605389~Hypotrichosis 1,		SM01352:SM01352,	KW-0879~Wnt signaling pathway,	KW-0472~Membrane,KW-1003~Cell membrane,	KW-0225~Disease variant,KW-1063~Hypotrichosis,	KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,			KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Polar residues,DOMAIN:APCDD1,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
ABCA9	ATP binding cassette subfamily A member 9(ABCA9)	Homo sapiens			GO:0006869~lipid transport,GO:0055085~transmembrane transport,	GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0043231~intracellular membrane-bounded organelle,	GO:0005319~lipid transporter activity,GO:0005524~ATP binding,GO:0016887~ATPase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR026082:ABC transporter A, ABCA,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa02010:ABC transporters,			SM00382:AAA,	KW-0813~Transport,	KW-0472~Membrane,		KW-0677~Repeat,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-1278~Translocase,	KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:ABC transporter,DOMAIN:ABC transporter 1,DOMAIN:ABC transporter 2,TRANSMEM:Helical,
ABCC11	ATP binding cassette subfamily C member 11(ABCC11)	Homo sapiens			GO:0015711~organic anion transport,GO:0015721~bile acid and bile salt transport,GO:0015865~purine nucleotide transport,GO:0042908~xenobiotic transport,GO:0055085~transmembrane transport,GO:0071716~leukotriene transport,GO:0098656~anion transmembrane transport,	GO:0005774~vacuolar membrane,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0030659~cytoplasmic vesicle membrane,GO:0070062~extracellular exosome,	GO:0005524~ATP binding,GO:0008514~organic anion transmembrane transporter activity,GO:0008559~xenobiotic-transporting ATPase activity,GO:0015216~purine nucleotide transmembrane transporter activity,GO:0015431~glutathione S-conjugate-exporting ATPase activity,GO:0015432~bile acid-exporting ATPase activity,GO:0016887~ATPase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0043225~ATPase-coupled anion transmembrane transporter activity,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR011527:ABC transporter, transmembrane domain, type 1,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa02010:ABC transporters,	117800~Axillary odor, variation in,117800~Colostrum secretion, variation in,117800~Earwax, wet/dry,		SM00382:AAA,	KW-0445~Lipid transport,KW-0813~Transport,	KW-0472~Membrane,KW-0926~Vacuole,KW-0968~Cytoplasmic vesicle,KW-1003~Cell membrane,		KW-0677~Repeat,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-1278~Translocase,	KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:ABC transmembrane type-1,DOMAIN:ABC transmembrane type-1 1,DOMAIN:ABC transmembrane type-1 2,DOMAIN:ABC transporter,DOMAIN:ABC transporter 1,DOMAIN:ABC transporter 2,MUTAGEN:G->A,P: Does not affect N-glycosylation.,MUTAGEN:G->L,H,D,E: Loss of N-glycosylation.,MUTAGEN:N->Q: Loss of N-glycosylation.,REGION:Disordered,TOPO_DOM:Cytoplasmic,TRANSMEM:Helical,
ABCC3	ATP binding cassette subfamily C member 3(ABCC3)	Homo sapiens		h_mrpPathway:Multi-Drug Resistance Factors,h_nuclearRsPathway:Nuclear Receptors in Lipid Metabolism and Toxicity,	GO:0006805~xenobiotic metabolic process,GO:0006855~drug transmembrane transport,GO:0015721~bile acid and bile salt transport,GO:0015779~glucuronoside transport,GO:0042908~xenobiotic transport,GO:0055085~transmembrane transport,GO:0071716~leukotriene transport,GO:0098656~anion transmembrane transport,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009925~basal plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,	GO:0005524~ATP binding,GO:0008559~xenobiotic-transporting ATPase activity,GO:0015164~glucuronoside transmembrane transporter activity,GO:0015431~glutathione S-conjugate-exporting ATPase activity,GO:0015432~bile acid-exporting ATPase activity,GO:0016887~ATPase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0042910~xenobiotic transporter activity,GO:0043225~ATPase-coupled anion transmembrane transporter activity,GO:0071714~icosanoid transmembrane transporter activity,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR005292:Multi drug resistance-associated protein,IPR011527:ABC transporter, transmembrane domain, type 1,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa01523:Antifolate resistance,hsa02010:ABC transporters,hsa04976:Bile secretion,			SM00382:AAA,	KW-0445~Lipid transport,KW-0813~Transport,	KW-0472~Membrane,KW-1003~Cell membrane,		KW-0677~Repeat,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-1278~Translocase,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:ABC transmembrane type-1,DOMAIN:ABC transmembrane type-1 1,DOMAIN:ABC transmembrane type-1 2,DOMAIN:ABC transporter,DOMAIN:ABC transporter 1,DOMAIN:ABC transporter 2,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=10,TRANSMEM:Helical; Name=11,TRANSMEM:Helical; Name=12,TRANSMEM:Helical; Name=13,TRANSMEM:Helical; Name=14,TRANSMEM:Helical; Name=15,TRANSMEM:Helical; Name=16,TRANSMEM:Helical; Name=17,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=6,TRANSMEM:Helical; Name=7,TRANSMEM:Helical; Name=8,TRANSMEM:Helical; Name=9,
